image_id,label
000.png,5
001.png,1
002.png,7
003.png,2
004.png,3
005.png,0
006.png,4
007.png,7
008.png,1
009.png,9
010.png,7
011.png,2
012.png,0
013.png,1
014.png,0
015.png,3
016.png,5
017.png,4
018.png,2
019.png,4
020.png,6
021.png,3
022.png,2
023.png,2
024.png,0
025.png,1
026.png,1
027.png,5
028.png,2
029.png,0
030.png,1
031.png,2
032.png,2
033.png,1
034.png,4
035.png,4
036.png,5
037.png,6
038.png,6
039.png,4
040.png,3
041.png,1
042.png,4
043.png,3
044.png,6
045.png,9
046.png,4
047.png,6
048.png,9
049.png,7
050.png,0
051.png,4
052.png,0
053.png,5
054.png,6
055.png,2
056.png,7
057.png,8
058.png,5
059.png,8
060.png,9
061.png,8
062.png,5
063.png,6
064.png,6
065.png,9
066.png,0
067.png,0
068.png,3
069.png,2
070.png,0
071.png,0
072.png,3
073.png,4
074.png,7
075.png,0
076.png,9
077.png,6
078.png,6
079.png,7
080.png,2
081.png,7
082.png,0
083.png,0
084.png,2
085.png,6
086.png,0
087.png,2
088.png,9
089.png,2
090.png,4
091.png,2
092.png,4
093.png,6
094.png,7
095.png,6
096.png,9
097.png,7
098.png,9
099.png,5
